date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:00	935/935	---M--	200	added ('OK')	image/png	etag:%227ac5465-3a7-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/gridtile_3x3_white.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/gridtile_3x3_white.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:11:00	2746/2746	---M--	200	added ('OK')	image/png	etag:%227ac5489-aba-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/boxed_bgtile.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/boxed_bgtile.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:11:01	149/149	---M--	200	added ('OK')	image/png	etag:%227ac545b-95-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/navigdots_bgtile.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/navigdots_bgtile.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:11:01	2216/2216	---M--	200	added ('OK')	image/png	etag:%227ac5437-8a8-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/bullet.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/bullet.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:11:01	1153/1153	---M--	200	added ('OK')	image/png	etag:%227ac548b-481-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/bullets.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/bullets.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:11:01	278/278	---M--	200	added ('OK')	image/png	etag:%227ac5474-116-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/bullets2.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/bullets2.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:11:01	924/924	---M--	200	added ('OK')	image/png	etag:%227ac547a-39c-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/bullet_boxed.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/bullet_boxed.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:11:01	1580/1580	---M--	200	added ('OK')	image/png	etag:%227ac5455-62c-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/navigdots.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/navigdots.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:11:02	2370/2370	---M--	200	added ('OK')	image/png	etag:%227ac5442-942-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/large_left.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/large_left.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:11:02	2391/2391	---M--	200	added ('OK')	image/png	etag:%227ac5482-957-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/large_right.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/large_right.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
